_id,FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,DEP_AMORT_EXP_OPS,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,DISP_TRNFR,CASH,MARKETABLE_SEC,OTH_CURR_ASSETS,TOT_CURR_ASSETS,LIMITED_USE_CASH,LIMITED_USE_INV,LIMITED_USE_OTHER_ASSETS,TOT_LIMITED_USE_ASSETS,TOT_PPE,ACCU_DEP_AMORT,NET_TOT_PPE,CONST_IN_PROGRESS,TOT_INV_AND_OTH_ASSETS,TOT_INTANGIBLE_ASSETS,TOT_ASSETS,CAP_EXP,CURR_LIABILITIES,CURR_MAT_LT_DEBT,TOT_CURR_LIABILITIES,TOT_DEF_CREDITS,TOT_LT_DEBT,CURR_MATURITIES,NET_TOT_LT_DEBT,TOT_LIABILITIES,TOT_EQUITY,TOT_LIABILITY_AND EQUITY
11,106560525,ADVENTIST HEALTH SIMI VALLEY,20242,04/01/2024,06/30/2024,Open,Ventura,10 - Santa Barbara/Ventura,813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,130,80,624,364,54,233,0,0,22,349,0,9,1655,0,2978,1524,201,943,0,0,96,1154,0,24,6920,0,2516,1595,794,4040,0,0,2071,9692,2,241,20951,75663082,40649276,4815742,23606947,0,0,2283309,31157650,0,1953964,180129970,27457086,23781906,3587475,29946838,0,0,2455733,47277809,1928,4821159,139329934,4545621,89005483,56793724,8265624,46772040,0,0,0,2978571,52964590,0,227204,0,0,0,4682926,266235783,0,0,0,0,0,13963853,7269558,16377,6777260,0,0,1086167,22717455,0,1393451,53224121,-501441,60084128,2106510,0,408460,0,0,0,0,0,0,0,48976674,48976674,0,0,7358669,7358669,238882832,142226760,96656072,8500354,130667,1355879,162978315,2104259,101432458,2277000,103709458,0,105374209,2277000,103097209,206806667,-43828352,162978315
12,106554011,ADVENTIST HEALTH SONORA - GREENLEY,20242,04/01/2024,06/30/2024,Open,Tuolumne,06 - North San Joaquin,513,Church,Comparable,Rural,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152,152,102,685,82,29,164,0,0,64,167,3,8,1202,10,7088,433,123,780,0,0,297,487,3,44,9255,4629,43069,4988,2422,12573,0,0,2949,22217,28,1624,89870,68190252,9529928,1891847,14703174,0,0,6865401,17421818,14101,1849247,120465768,149108384,17808504,3153568,38175327,0,0,13448628,58323200,92623,3809927,283920161,889029,183990199,23254071,2649077,40165303,0,0,0,14714153,52141411,0,488158,0,0,0,4723895,323015296,0,0,0,0,0,32870506,4084361,1966251,12538150,0,0,4870776,23580076,0,1460513,81370633,7914511,85917433,1669593,0,3767370,0,0,0,0,0,1140594,0,303161008,304301602,0,0,0,0,196220950,113331509,82889441,2095833,0,433978,389720854,2659149,37611944,1717000,39328944,2659149,93999641,1717000,92282641,134270734,255450120,389720854
13,106281078,ADVENTIST HEALTH ST. HELENA,20242,04/01/2024,06/30/2024,Open,Napa,03 - North Bay,407,Non Profit Corp.,Comparable,,707-963-3611,10 WOODLAND ROAD,ST. HELENA,94574,STEVEN HERBER,151,151,58,391,116,148,108,0,0,37,85,0,7,892,0,1907,668,1086,619,0,0,192,389,0,67,4928,0,5845,1040,108,1887,0,0,617,3140,0,83,12720,81565074,23203248,8545600,22452988,0,0,4884864,17021697,0,2859437,160532908,99780775,19111189,532574,29947389,0,0,10472696,45356752,0,1864661,207066036,614535,158700476,37944007,8814739,46422612,-55361,0,0,10541269,45127046,0,1032727,0,0,0,1590254,310732304,0,5635872,0,0,5635872,22644106,4186777,140507,11611785,0,0,4805109,16293351,0,2820877,62502512,4027626,72262209,2333848,0,59795,0,0,0,0,0,0,0,49140437,49140437,0,0,4910440,4910440,278333038,188807510,89525528,10444928,2420873,0,156442206,256034,155453646,1179959,156633605,70022,63315577,1179959,62135618,218839245,-62397039,156442206
14,106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,20242,04/01/2024,06/30/2024,Open,Kern,09 - Central,623,Non Profit Corp.,Comparable,Rural,661-823-3000,1100 MAGELLAN DRIVE,TEHACHAPI,93561,JEFFERY LINGERFELT,25,25,12,83,37,15,64,0,0,13,19,1,2,234,0,287,133,45,161,0,0,39,57,3,4,729,0,2450,848,339,5138,0,0,550,2042,2,210,11579,5512671,2723341,731501,4926671,0,0,1134318,1943236,121140,163932,17256810,8991980,6774399,1525569,15022152,0,0,3250819,10187873,85238,1356661,47194691,707611,10729940,7072290,1589435,15848499,0,0,0,2823324,7857187,0,201378,0,0,0,1163335,47992999,0,806,0,0,806,3613135,2325026,649526,4059447,0,0,1260516,4083922,0,467736,16459308,521386,16732305,579225,0,316804,0,0,0,0,0,20309945,0,20463936,40773881,0,0,0,0,49780184,12183052,37597132,581862,0,70854,79023729,233680,8133785,0,8133785,0,62355013,0,62355013,70488798,8534931,79023729
15,106540816,ADVENTIST HEALTH TULARE,20242,04/01/2024,06/30/2024,Open,Tulare,09 - Central,611,Non Profit Corp.,Comparable,,559-537-0056,869 NORTH CHERRY STREET,TULARE,93274,TIM HAYDOCK,108,73,20,130,70,30,134,0,0,11,48,0,29,452,0,564,349,100,464,0,0,54,151,0,88,1770,0,753,536,590,5296,0,0,303,1333,105,374,9290,8533790,5325904,1166556,7079753,0,0,860827,2141077,0,1019676,26127583,10358705,7769771,2434144,44288075,0,0,2669645,15988754,41360,4133456,87683910,1065305,15394103,10542597,3539497,45975312,-539908,0,0,2500791,13819088,0,499113,0,0,0,3189657,95985555,0,0,0,0,0,3208183,2528324,35917,6110130,0,0,853856,4396387,4050,689091,17825938,1967135,25485814,1025520,0,0,0,0,0,0,0,450,0,29639646,29640096,0,0,0,0,24338729,11537165,12801564,211538,0,303000,42956198,227442,56460160,0,56460160,723124,119122696,0,119122696,176305980,-133349782,42956198
16,106231396,ADVENTIST HEALTH UKIAH VALLEY,20242,04/01/2024,06/30/2024,Open,Mendocino,01 - Northern California,113,Church,Comparable,Rural,707-462-3111,275 HOSPITAL DRIVE,UKIAH,95482,JASON WELLS,67,50,25,195,45,15,192,0,0,20,68,0,1,536,0,886,206,44,499,0,0,60,175,0,5,1875,0,16759,2944,584,12402,0,0,2048,9532,3,575,44847,19156359,4236532,441585,9724798,0,0,1187686,4325595,0,896679,39969234,44754241,7202909,533384,31750992,0,0,4446698,21684295,2025,3104565,113479109,1221112,48268641,9815770,1072168,29412086,-376333,0,0,3768729,14473511,0,557340,0,0,0,1807947,110020971,0,6247895,0,0,6247895,15634361,1428097,-147811,18305689,0,0,1862754,11234207,0,1357970,49675267,3196326,48808835,977089,0,595204,0,0,0,0,0,103008513,0,77817329,180825842,0,0,12773711,12773711,138255111,71241064,67014047,2938850,499933,172586,264224969,659322,38389607,1457000,39846607,508142,66749346,1457000,65292346,105647095,158577874,264224969
17,106481015,ADVENTIST HEALTH VALLEJO,20242,04/01/2024,06/30/2024,Open,Solano,03 - North Bay,409,Non Profit Corp.,Comparable,,707-963-3611,525 OREGON STREET,VALLEJO,94590,DR STEVE HERBER,61,61,59,55,37,153,0,0,0,119,220,0,0,584,0,581,387,1298,0,0,0,1013,1752,0,0,5031,0,416,3,0,0,0,0,129,898,0,0,1446,3802715,2637902,8144011,0,0,0,6382902,10811984,0,0,31779514,371540,1760,0,0,0,0,105319,451387,0,0,930006,117145,3242084,1828547,5664234,0,0,0,0,4595311,7618123,0,56576,0,0,0,64756,23186776,0,0,0,0,0,810674,806526,2372304,0,0,0,1888575,3644665,0,0,9522744,115075,9889149,35775,0,0,0,0,0,0,0,0,0,6206930,6206930,0,0,0,0,6601181,4477918,2123263,0,305781,0,8635974,0,19635356,149041,19784397,8845,7997393,149041,7848352,27641594,-19005620,8635974
18,106190878,ADVENTIST HEALTH WHITE MEMORIAL,20242,04/01/2024,06/30/2024,Open,Los Angeles,11 - Los Angeles,925,Non Profit Corp.,Comparable,Teaching,323-268-5000,1720 E. CESAR E. CHAVEZ AVENUE,LOS ANGELES,90033,JOHN RAFFOUL,353,353,244,461,676,660,1593,0,0,42,727,29,24,4212,0,3348,4176,3578,7046,0,0,342,3352,95,209,22146,0,5076,5191,2730,15651,0,0,620,9626,51,944,39889,95404063,138865380,64260149,254009326,0,0,6376682,51092107,1486241,9617938,621111886,45413672,54793250,8135401,167804502,0,0,1616803,49417723,218139,9762215,337161705,6789233,119420114,170601591,69717450,373940586,-10467165,0,0,7376658,76714166,0,2090617,0,0,0,13471010,829654260,0,8665275,0,0,8665275,19804750,22002330,4411600,62982604,0,0,915369,18795657,0,8372296,137284606,4263639,149661825,2780039,0,9447275,0,0,0,0,0,394194937,0,310285404,704480341,0,0,0,0,417137745,324793114,92344631,22568842,8581816,350000,828325630,643324,100657433,0,100657433,30053,146687348,0,146687348,247374834,580950796,828325630
19,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,20242,04/01/2024,06/30/2024,Open,Orange,13 - Orange,1012,Investor - Ptnr.,Comparable,,714-999-5102,1111 WEST LA PALMA AVENUE,ANAHEIM,92801,LISA HAHN,223,223,223,276,312,113,604,0,0,4,196,0,70,1575,0,1339,1530,482,2321,0,0,55,477,0,148,6352,0,865,1348,686,5084,0,0,119,1626,15,633,10376,25213168,38133049,9500835,45245579,0,0,1074508,11931637,0,1984690,133083466,11734755,25071354,4703068,42110113,0,0,1780004,11918807,130621,3786887,101235609,3445668,30955787,54119546,10949335,78434482,-2064028,0,0,1647083,18544615,0,130621,0,0,0,761413,196924522,0,8170693,0,0,8170693,5992136,9084857,5318596,17091903,0,0,1207429,5305829,0,1564496,45565246,263750,51198531,349079,0,234891,0,0,0,0,0,19886625,0,31284171,51170796,0,0,0,0,38106183,30795305,7310878,1571495,24788925,0,84842094,1269081,84995698,121479,85117177,0,164260,121479,42781,85159958,-317864,84842094
20,106410817,AHMC SETON MEDICAL CENTER,20242,04/01/2024,06/30/2024,Open,San Mateo,04 - West Bay,425,Church,Comparable,,650-991-6491,1900 SULLIVAN AVENUE,DALY CITY,94015,SARKIS VARTANIAN,478,478,478,198,86,22,99,0,0,5,178,0,41,629,0,3264,1162,1506,4084,0,0,76,4359,0,1126,15577,5926,2431,1246,88,1665,0,0,130,3435,94,236,9325,43690586,17828672,20886618,27334684,0,0,1406945,33269102,0,8429794,152846401,23086261,10617631,917688,14541788,0,0,1365816,29488722,738292,4328096,85084294,2888130,54605873,26228560,14548416,35673571,0,0,0,2542810,60326908,0,487226,0,0,0,895615,198197109,0,0,0,0,0,12170974,2217743,7255890,6202901,0,0,229951,2430916,251066,8974145,39733586,366651,50208642,424203,0,-1459679,0,0,0,0,0,7870715,0,29426067,37296782,0,0,0,0,9900875,5710483,4190392,75682506,20000000,155814,137325494,1977932,138596676,144695,138741371,41952139,163166,144695,18471,180711981,-43386487,137325494
21,106010735,ALAMEDA HOSPITAL,20242,04/01/2024,06/30/2024,Open,Alameda,05 - East Bay,417,City/County,Comparable,,510-437-4800,2070 CLINTON AVENUE,ALAMEDA,94501,JAMES JACKSON,247,247,247,274,101,29,217,0,5,7,49,0,9,691,0,1363,911,1300,13831,0,16,21,310,0,230,17982,0,1935,349,547,6696,0,170,155,1263,101,328,11544,27637262,10838231,7776368,59823758,0,256951,473627,4408700,0,2164385,113379282,13365179,3812908,1763946,26535478,0,457489,857834,8496799,248664,1775050,57313347,2956546,33951697,11643687,8342190,77550577,0,0,714439,1113955,9113453,0,248664,0,0,0,785917,146421125,0,0,0,0,0,7050744,3007452,1198124,8808659,0,0,217507,3792046,0,196972,24271504,29945,35369547,1187423,0,451640,0,0,0,0,0,185431,0,1001707,1187138,0,0,0,0,51514882,18364280,33150602,0,15955603,5462522,55755865,34665,1472561,387956,1860517,0,10987114,387956,10599158,12459675,43296190,55755865
22,106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,20242,04/01/2024,06/30/2024,Open,Los Angeles,11 - Los Angeles,913,Investor - Ptnr.,Comparable,,626-570-1606,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,EVELYN KU,144,144,144,281,278,21,362,0,0,3,73,0,2,1020,7,1822,1591,243,3510,0,0,49,296,0,3,7514,2138,679,807,276,2538,0,0,96,831,18,1374,6619,27896048,24898027,3668978,38319395,0,0,692811,4875465,0,80687,100431411,3884023,6445989,1368868,12095893,0,0,414983,6361566,41093,1508556,32120971,238100,27965142,28032012,4674750,44499277,0,0,0,738151,9004875,0,41093,0,0,0,1340156,116533556,50162856,5755900,0,0,55918756,3814929,53474860,363096,11671911,0,0,369643,2232156,0,10987,71937582,494388,70948605,276168,0,186680,0,0,0,0,0,141139438,763,31772289,172912490,0,0,0,0,15304339,11935563,3368776,260623,0,0,176541889,422462,136027826,0,136027826,0,0,0,0,136027826,40514063,176541889
