Faculty Name,County Name,Beginning Date Q1,Ending Date Q1,Type of Hospital,Teaching/Rural Hospital,Available Beds Q1,Staff Beds Q1,Total Outpatient Visits Q1,Total Gross Inpatient Revenue Q1,Total Patient (Census) Days,Total Gross Outpatient Revenue Q1,Total Deductions from Revenue Q1,Total Capitation Premium Revenue Q1,Total Net Patient Revenue Q1,Total Operating Expenses Q1,Expenses (Inpatient) Q1,Expenses (Outpatient) Q1,PPC Expenses Q1,Log Total Outpatient Visits Q1,Log Total Gross Inpatient Revenue Q1,Log Total Patient (Census) Days Q1,Log Total Gross Outpatient Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Capitation Premium Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Net Patient Revenue Q1,Log Total Operating Expenses Q1,Log Expenses (Inpatient) Q1,Log Expenses (Outpatient) Q1,Log PPC Expenses Q1,Beginning Date Q2,Ending Date Q2,Available Beds Q2,Staff Beds Q2,Total Outpatient Visits Q2,Total Gross Inpatient Revenue Q2,Total Patient (Census) Days Q2,Total Gross Outpatient Revenue Q2,Total Deductions from Revenue Q2,Total Capitation Premium Revenue Q2,Total Net Patient Revenue Q2,Total Operating Expenses Q2,Inpatient Expenses Q2,Outpatient Expenses Q2,PCC Expenses Q2,Log Total Outpatient Visits Q2,Log Total Gross Inpatient Revenue Q2,Log Total Patient (Census) Days Q2,Log Total Gross Outpatient Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Capitation Premium Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Net Patient Revenue Q2,Log Total Operating Expenses Q2,Log Expenses (Inpatient) Q2,Log Expenses (Outpatient) Q2,Log PPC Expenses Q2
ADVENTIST HEALTH SIMI VALLEY,Ventura,1/1/2024,3/31/2024,Comparable,N/A,130,92,19222,197537311,8015,139282124,282286053,0,54533382,62814699,0,0,0,9.863862758,19.10143805,8.989194823,18.75201211,19.47213474,15.46989946,19.47213474,17.8143236,17.95569968,0,0,0,4/1/2024,6/30/2024,130,80,20951,180129970,6920,139329934,266235783,0,53224121,60084128,0,0,0,9.949989386,19.00918921,8.842315547,18.75235531,19.55698097,14.47025573,19.55698097,17.79002227,17.91125629,0,0,0
ADVENTIST HEALTH SONORA - GREENLEY,Tuolumne,1/1/2024,3/31/2024,Comparable,Rural,152,102,90846,120268842,9224,278477326,319084339,0,79661829,83077791,0,0,0,11.41693205,18.60524015,9.129672469,19.4448472,19.59309848,15.46989946,19.59309848,18.19330111,18.23528798,0,0,0,4/1/2024,6/30/2024,152,102,89870,120465768,9255,283920161,323015296,0,81370633,85917433,0,0,0,11.40613059,18.6068762,9.133027269,19.46420364,19.72441287,14.47025573,19.72441287,18.214525,18.26889732,0,0,0
ADVENTIST HEALTH ST. HELENA,Napa,1/1/2024,3/31/2024,Comparable,N/A,151,58,12334,167361526,4876,203966091,319244791,6705573,58788399,72745514,0,0,0,9.420196029,18.93566686,8.492285556,19.13346432,19.59359515,16.29502402,19.59359515,17.88945511,18.10247781,0,0,0,4/1/2024,6/30/2024,151,58,12720,160532908,4928,207066036,310732304,5635872,62502512,72262209,0,0,0,9.45100945,18.89400952,8.502891407,19.14854832,19.69049371,15.83845106,19.69049371,17.95071732,18.09581187,0,0,0
ADVENTIST HEALTH TEHACHAPI VALLEY,Kern,1/1/2024,3/31/2024,Comparable,Rural,25,13,15736,19289772,814,46434073,49054199,1139,16670785,15856864,0,0,0,9.663769907,16.77508562,6.703188113,17.6535441,17.78484088,15.47011723,17.78484088,16.6291684,16.57911309,0,0,0,4/1/2024,6/30/2024,25,12,11579,17256810,729,47194691,47992999,806,16459308,16732305,0,0,0,9.357034751,16.66371746,6.593044534,17.66979199,18.35110939,14.47067442,18.35110939,16.61640177,16.6328519,0,0,0
ADVENTIST HEALTH TULARE,Tulare,1/1/2024,3/31/2024,Comparable,N/A,73,24,8581,28711379,2052,81531234,92222246,0,18020367,25103394,0,0,0,9.057422266,17.17280412,7.627057417,18.21649676,18.38107787,15.46989946,18.38107787,16.70701323,17.03851365,0,0,0,4/1/2024,6/30/2024,73,20,9290,26127583,1770,87683910,95985555,0,17825938,25485814,0,0,0,9.136801469,17.07850217,7.479299638,18.28924899,18.76619705,14.47025573,18.76619705,16.6961652,17.05363258,0,0,0
ADVENTIST HEALTH UKIAH VALLEY,Mendocino,1/1/2024,3/31/2024,Comparable,Rural,50,37,64248,61682279,3030,162824112,172521203,11638116,63623304,67680996,0,0,0,11.07052144,17.93750725,8.016647877,18.90818111,18.98835576,16.64092883,18.98835576,17.96849039,18.030316,0,0,0,4/1/2024,6/30/2024,50,25,44847,39969234,1875,113479109,110020971,6247895,49675267,48808835,0,0,0,10.71103427,17.50362059,7.53689713,18.54712933,18.86091648,15.91629117,18.86091648,17.72101774,17.70342192,0,0,0
ADVENTIST HEALTH VALLEJO,Solano,1/1/2024,3/31/2024,Comparable,N/A,61,51,1298,27952182,4307,700390,21025579,0,7626993,9752090,0,0,0,7.169350017,17.14600586,8.368229038,13.45939403,17.03119891,15.46989946,17.03119891,15.84720435,16.09299228,0,0,0,4/1/2024,6/30/2024,61,59,1446,31779514,5031,930006,23186776,0,9522744,9889149,0,0,0,7.277247727,17.27433246,8.523572798,13.74294739,18.04195202,14.47025573,18.04195202,16.06919371,16.10694875,0,0,0
ADVENTIST HEALTH WHITE MEMORIAL,Los Angeles,1/1/2024,3/31/2024,Comparable,Teaching,353,250,37474,620401019,22707,311760806,798454025,7040542,140748342,147748332,0,0,0,10.53142932,20.24587663,10.03047256,19.55774681,20.50305409,16.32270245,20.50305409,18.76248405,18.81102093,0,0,0,4/1/2024,6/30/2024,353,244,39889,621111886,22146,337161705,829654260,8665275,137284606,149661825,0,0,0,10.59388094,20.2470218,10.00545733,19.63607321,20.58966658,16.17541382,20.58966658,18.73756675,18.82388881,0,0,0
AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,1/1/2024,3/31/2024,Comparable,N/A,223,223,10031,143009427,7350,105190966,209877805,0,38322588,42751340,0,0,0,9.213535263,18.77842112,8.902591637,18.47128799,19.1804237,15.46989946,19.1804237,17.46155007,17.57091112,0,0,0,4/1/2024,6/30/2024,223,223,10376,133083466,6352,101235609,196924522,8170693,45565246,51198531,0,0,0,9.247347098,18.70648706,8.756682421,18.43296113,19.30531931,16.12758498,19.30531931,17.63465586,17.75122142,0,0,0
AHMC SETON MEDICAL CENTER,San Mateo,1/1/2024,3/31/2024,Comparable,N/A,478,478,9234,168775288,16210,81640829,219406488,0,31009629,45379794,0,0,0,9.130755893,18.94407874,9.693445303,18.21784006,19.22403276,15.46989946,19.22403276,17.24980836,17.63057752,0,0,0,4/1/2024,6/30/2024,478,478,9325,152846401,15577,85084294,198197109,0,39733586,50208642,0,0,0,9.140561477,18.84494407,9.653614941,18.25915303,19.3105596,14.47025573,19.3105596,17.49770741,17.73169774,0,0,0
ALAMEDA HOSPITAL,Alameda,1/1/2024,3/31/2024,Comparable,N/A,247,247,12145,128084991,19038,53209662,155699425,0,25595228,33454723,0,0,0,9.404755176,18.6682046,9.854244786,17.78975057,18.88814544,15.46989946,18.88814544,17.05791652,17.32570356,0,0,0,4/1/2024,6/30/2024,247,247,11544,113379282,17982,57313347,146421125,0,24271504,35369547,0,0,0,9.354007722,18.54624924,9.797182146,17.8640441,19.07148124,14.47025573,19.07148124,17.00481359,17.38136178,0,0,0
ALHAMBRA HOSPITAL MEDICAL CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,144,144,6310,103214461,7880,31076158,117320687,43810619,60780551,60312657,0,0,0,8.750049422,18.45231954,8.972210078,17.25195149,18.61308091,17.70815709,18.61308091,17.92278043,17.91505256,0,0,0,4/1/2024,6/30/2024,144,144,6619,100431411,7514,32120971,116533556,55918756,71937582,70948605,0,0,0,8.797850649,18.42498558,8.924656302,17.28501971,18.90199463,17.87325006,18.90199463,18.0913094,18.07746631,0,0,0
ALISO RIDGE BEHAVIORAL HEALTH,Orange,1/1/2024,3/31/2024,Comparable,N/A,93,93,221,18655250,8452,145640,10384265,0,8416625,8384289,0,0,255718,5.402677382,16.74163822,9.042276687,11.88889997,16.47430931,15.46989946,16.47430931,15.94571959,15.94187027,0,0,12.45183446,4/1/2024,6/30/2024,93,93,329,18523175,8409,217140,10065882,0,8674433,8546255,0,0,489619,5.799092654,16.73453326,9.037176753,12.28830219,17.82922769,14.47025573,17.82922769,15.97589064,15.96100385,0,0,13.10138486
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,Alameda,1/1/2024,3/31/2024,Comparable,N/A,393,252,34510,287181414,19383,234160118,341535550,9124625,188930607,221822211,0,0,0,10.44903339,19.47562468,9.872203262,19.27151571,19.66030177,16.4795746,19.66030177,19.05689035,19.21738677,0,0,0,4/1/2024,6/30/2024,393,246,33123,266130983,18798,240979006,344641223,10268071,172736837,199803604,0,0,0,10.40801337,19.39949917,9.841558956,19.30022038,19.78147159,16.31634986,19.78147159,18.96727983,19.11284547,0,0,0
ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,Alameda,1/1/2024,3/31/2024,Comparable,N/A,309,226,28639,339962996,17301,179369555,378225874,0,141106677,145300287,0,0,0,10.26255962,19.64434734,9.758577381,19.00495879,19.76124718,15.46989946,19.76124718,18.76502674,18.79431311,0,0,0,4/1/2024,6/30/2024,309,227,34348,340660191,17843,181390431,385430671,0,136619951,127765708,0,0,0,10.44432819,19.64639603,9.789422596,19.01616235,19.88096189,14.47025573,19.88096189,18.73271356,18.66570875,0,0,0
ALVARADO PARKWAY INSTITUTE BHS,San Diego,1/1/2024,3/31/2024,Comparable,N/A,66,66,29748,14268524,5727,11908210,16890930,0,9285804,9317192,0,0,0,10.3005508,16.47356662,8.653121709,16.29273872,16.84978019,15.46989946,16.84978019,16.04399745,16.04737196,0,0,0,4/1/2024,6/30/2024,66,66,32511,13907500,5780,13006300,17419891,0,9493909,9348151,0,0,0,10.38936453,16.44793889,8.662331957,16.38094449,17.95397167,14.47025573,17.95397167,16.0661611,16.05068923,0,0,0
AMERICAN RECOVERY CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,173,173,908,2794627,6925,147131,0,0,2941758,2318440,0,0,0,6.812345094,14.84320956,8.843037725,11.89908542,15.17516855,15.46989946,15.17516855,14.89451826,14.65640554,0,0,0,4/1/2024,6/30/2024,173,173,746,2298138,6742,120992,0,0,2419130,2227846,0,0,0,6.616065185,14.64761022,8.816260209,11.70348797,17.6285164,14.47025573,17.6285164,14.69891894,14.61654621,0,0,0
ANAHEIM COMMUNITY HOSPITAL,Orange,1/1/2024,3/31/2024,Comparable,N/A,79,79,167,16899010,7124,246835,9087356,0,8058489,8477653,0,0,724551,5.123963979,16.64276566,8.871365005,12.41647943,16.37909106,15.46989946,16.37909106,15.90223675,15.95294432,0,0,13.49330881,4/1/2024,6/30/2024,88,88,42,18663047,7938,223008,8499420,0,10386635,10111678,0,0,934389,3.761200116,16.74205608,8.979542602,12.31496741,17.80051964,14.47025573,17.80051964,16.15603054,16.12920165,0,0,13.74764919
ANAHEIM GLOBAL MEDICAL CENTER,Orange,1/1/2024,3/31/2024,Comparable,N/A,188,188,5024,46969115,8633,22851670,51212659,0,18608126,20095229,0,0,240595,8.522180733,17.66500084,9.063463176,16.9445348,17.82479674,15.46989946,17.82479674,16.73910898,16.81599303,0,0,12.39087446,4/1/2024,6/30/2024,188,188,5314,47010482,8932,26573369,51225585,0,22358266,21139399,0,0,245965,8.578288291,17.66588118,9.097507564,17.09542014,18.38517732,14.47025573,18.38517732,16.9227067,16.86664916,0,0,12.41294859
ANTELOPE VALLEY MEDICAL CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,393,266,32602,384197036,21972,170711878,430673584,1087776,125323106,131009265,0,0,0,10.39215959,19.7666661,9.997569706,18.95548778,19.88986402,15.65885929,19.88986402,18.64640582,18.69077861,0,0,0,4/1/2024,6/30/2024,393,268,33506,396692176,22172,173503042,427741026,1237197,143691389,137186839,0,0,0,10.41950965,19.79867117,10.00663061,18.9717057,19.97466384,14.96666754,19.97466384,18.78317843,18.73685435,0,0,0
ARROWHEAD REGIONAL MEDICAL CENTER,San Bernardino,1/1/2024,3/31/2024,Comparable,Teaching,436,436,73262,506645181,33978,254818566,594557202,0,166906545,219068379,0,0,0,11.20181099,20.04332148,10.43349797,19.35606235,20.20985698,15.46989946,20.20985698,18.93294461,19.20489448,0,0,0,4/1/2024,6/30/2024,436,436,73246,534963567,33976,274039402,596092301,0,212910668,219566783,0,0,0,11.20159257,20.09770921,10.4334391,19.42878246,20.27913057,14.47025573,20.27913057,19.17638324,19.207167,0,0,0
ATASCADERO STATE HOSPITAL,San Luis Obispo,1/1/2024,3/31/2024,State Hospitals,N/A,1076,1076,0,66883796,94442,0,523,0,66883273,82457670,0,0,0,0,18.0184673,11.45575176,0,15.17530282,15.46989946,15.17530282,18.01845948,18.22779564,0,0,0,4/1/2024,6/30/2024,1076,1076,0,66931621,94055,0,2253,0,66929368,87988173,0,0,0,0,18.01918209,11.45164563,0,17.62856615,14.47025573,17.62856615,18.01914843,18.29271298,0,0,0
AURORA BEHAVIORAL HEALTHCARE - SANTA ROSA,Sonoma,1/1/2024,3/31/2024,Comparable,N/A,144,91,0,18557150,7724,0,6561270,0,11995880,11936879,0,0,1242441,0,16.73636577,8.952217102,0,16.16269906,15.46989946,16.16269906,16.3000739,16.29514333,0,0,14.03258936,4/1/2024,6/30/2024,144,91,0,19715400,8206,0,5713869,0,14001531,13879362,0,0,1179877,0,16.79691066,9.012742728,0,17.74734064,14.47025573,17.74734064,16.45467731,16.44591362,0,0,13.9809216
AURORA CHARTER OAK,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,137,137,2171,22416400,12430,1328100,11034529,0,12709971,12903231,0,0,475365,7.683403681,16.92530344,9.427948632,14.09926066,16.51884231,15.46989946,16.51884231,16.35789744,16.37298838,0,0,13.07184031,4/1/2024,6/30/2024,137,135,2233,22042675,12222,1419300,10782547,0,12679428,13188151,0,0,493420,7.71154898,16.90849095,9.411074702,14.16567505,17.84209194,14.47025573,17.84209194,16.35549147,16.39482941,0,0,13.10911804
AURORA LAS ENCINAS HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,118,97,1764,16264625,8783,825110,7685906,0,9403829,8592626,0,0,424235,7.475905969,16.60450312,9.080687164,13.6232732,16.26485626,15.46989946,16.26485626,16.05662761,15.96641507,0,0,12.95804518,4/1/2024,6/30/2024,118,98,1475,16471925,8882,699705,7415630,0,9756000,8896187,0,0,469780,7.297091005,16.61716804,9.091894617,13.45841553,17.78016374,14.47025573,17.78016374,16.09339314,16.00113343,0,0,13.06002191
AURORA SAN DIEGO,San Diego,1/1/2024,3/31/2024,Comparable,N/A,101,90,2119,16325850,8137,1078525,6676566,0,10727809,10112114,0,0,245502,7.659171368,16.60826036,9.004299729,13.89110585,16.17366535,15.46989946,16.17366535,16.18834999,16.12924477,0,0,12.41106445,4/1/2024,6/30/2024,101,89,2443,16171025,8057,1251425,6565121,0,10857329,9525331,0,0,231560,7.80139132,16.59873168,8.994420666,14.03979426,17.76389402,14.47025573,17.76389402,16.20035099,16.06946533,0,0,12.35259862
AURORA VISTA DEL MAR HOSPITAL,Ventura,1/1/2024,3/31/2024,Comparable,N/A,87,20,494,3074475,1805,265200,1268152,0,2071523,5618127,0,0,0,6.204557763,14.93864504,7.498869734,12.48824331,15.45703088,15.46989946,15.45703088,14.54379513,15.54150907,0,0,0,4/1/2024,6/30/2024,87,19,298,2809200,1649,167280,1109447,0,1867033,8831446,0,0,0,5.700443573,14.84841066,7.408530567,12.02743031,17.6527196,14.47025573,17.6527196,14.43986163,15.99382943,0,0,0
BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL,Kern,1/1/2024,3/31/2024,Comparable,N/A,90,70,191,12620075,6299,93975,4874849,0,7839201,7912714,0,0,586671,5.257495372,16.35079944,8.748304912,11.45079471,15.9868143,15.46989946,15.9868143,15.8746476,15.88398152,0,0,13.28222117,4/1/2024,6/30/2024,90,78,291,14073350,7025,137025,5734637,0,8475738,8216175,0,0,734912,5.676753802,16.45979357,8.857372833,11.82792597,17.74774777,14.47025573,17.74774777,15.95271841,15.92161545,0,0,13.5075074
BAKERSFIELD MEMORIAL HOSPITAL,Kern,1/1/2024,3/31/2024,Comparable,N/A,385,230,32622,398414784,19087,280959275,527885571,12977495,164465983,153717787,0,0,0,10.39277284,19.80300419,9.856815144,19.45372029,20.09174124,16.71733745,20.09174124,18.91821432,18.85062893,0,0,0,4/1/2024,6/30/2024,385,214,33789,384586586,17729,305463180,530835730,14556218,173770254,155664608,0,0,0,10.42792018,19.76767952,9.783013399,19.53733981,20.17183015,16.61771087,20.17183015,18.97324461,18.86321431,0,0,0
BAKERSFIELD REHABILITATION HOSPITAL,Kern,1/1/2024,3/31/2024,Comparable,N/A,50,50,0,6815916,2603,0,1227028,0,5588888,6402543,0,0,0,0,15.73477117,7.864804003,0,15.44903387,15.46989946,15.44903387,15.53629108,15.67220597,0,0,0,4/1/2024,6/30/2024,50,50,0,7513805,2972,0,1138681,0,6375124,6721328,0,0,0,0,15.83225269,7.997326823,0,17.65334951,14.47025573,17.65334951,15.66791426,15.72079646,0,0,0
BALLARD REHABILITATION HOSPITAL,San Bernardino,1/1/2024,3/31/2024,Comparable,N/A,60,60,2152,13885295,3489,1347730,8068433,0,7164592,5628587,0,0,0,7.674617497,16.446341,8.157657015,14.113933,16.29735369,15.46989946,16.29735369,15.78466181,15.54336917,0,0,0,4/1/2024,6/30/2024,60,60,1404,14240320,3561,969775,8209174,0,7000921,6701305,0,0,0,7.247792582,16.47158801,8.178077464,13.7848204,17.79510869,14.47025573,17.79510869,15.76155241,15.71781299,0,0,0
BANNER LASSEN MEDICAL CENTER,Lassen,1/1/2024,3/31/2024,Comparable,Rural,25,25,5533,2909588,417,11396576,9197786,0,5108378,11028957,0,0,1476373,8.61866616,14.88352239,6.035481433,16.24882361,16.38756133,15.46989946,16.38756133,15.44639269,16.21603492,0,0,14.20509964,4/1/2024,6/30/2024,25,25,5558,3867752,689,11503430,9548014,0,5823168,11434164,0,0,1331535,8.623173515,15.16818428,6.536691598,16.2581559,17.81982778,14.47025573,17.81982778,15.57735517,16.25211636,0,0,14.10184372
BARLOW RESPIRATORY HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,105,88,0,236616167,7612,0,217031885,0,19584282,19109014,0,0,0,0,19.28194984,8.937612591,0,19.21334174,15.46989946,19.21334174,16.79023791,16.76567077,0,0,0,4/1/2024,6/30/2024,105,88,0,220662229,7116,0,202628656,0,18033573,18321419,0,0,0,0,19.21214372,8.870241567,0,19.32859656,14.47025573,19.32859656,16.7077458,16.72358143,0,0,0
BARSTOW COMMUNITY HOSPITAL,San Bernardino,1/1/2024,3/31/2024,Comparable,Rural,30,30,8237,50263184,1824,104434661,135462604,0,19235241,15604571,0,0,0,9.016512875,17.73278346,7.509335266,18.46407219,18.75255288,15.46989946,18.75255288,16.77225468,16.56307451,0,0,0,4/1/2024,6/30/2024,30,30,8923,45073248,1413,110225815,135525089,0,19773974,15229096,0,0,0,9.096499556,17.62379948,7.254177846,18.51804169,19.01296532,14.47025573,19.01296532,16.79987724,16.53871843,0,0,0
BARTON MEMORIAL HOSPITAL,El Dorado,1/1/2024,3/31/2024,Comparable,Rural,111,111,18318,56206399,5540,151114996,148914173,0,58407222,59218478,0,0,0,9.815694052,17.84454119,8.619930269,18.83355167,18.84469956,15.46989946,18.84469956,17.88295012,17.8967442,0,0,0,4/1/2024,6/30/2024,111,111,18074,49945990,5428,148919367,141302413,0,57562944,60753301,0,0,0,9.802285047,17.7264528,8.599510234,18.81891556,19.04441767,14.47025573,19.04441767,17.8683896,17.92233199,0,0,0
BEAR VALLEY COMMUNITY HOSPITAL,San Bernardino,1/1/2024,3/31/2024,Comparable,Rural,30,30,14285,2880739,2274,16722112,9317472,0,10285379,10054822,0,0,0,9.567035316,14.87355776,7.729735331,16.63224253,16.39666127,15.46989946,16.39666127,16.14623403,16.12356298,0,0,0,4/1/2024,6/30/2024,30,26,13959,2814892,2200,14773425,11017294,0,6571023,10054822,0,0,0,9.543951376,14.85043481,7.696667082,16.50834058,17.84626996,14.47025573,17.84626996,15.69818024,16.12356298,0,0,0
BHC ALHAMBRA HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,97,97,4748,16039032,8320,3076037,7958135,0,11156934,8266294,0,0,242130,8.465689349,16.59053587,9.026537719,14.93915296,16.28809122,15.46989946,16.28809122,16.22757184,15.92769696,0,0,12.39723418,4/1/2024,6/30/2024,97,96,4550,15883032,8229,2933958,7607881,0,11209109,8550852,0,0,255550,8.423102268,16.58076199,9.015541294,14.89186326,17.78380499,14.47025573,17.78380499,16.2322374,15.9615416,0,0,12.45117728
