FAC_NAME,COUNTY_NAME,BEG_DATE_q1,END_DATE_q1,OP_STATUS_q1,TYPE_HOSP_q1,TEACH_RURL_q1,AVL_BEDS_q1,STF_BEDS_q1,VIS_TOT_q1,GRIP_TOT_q1,DAY_TOT_q1,GROP_TOT_q1,DED_TOT_q1,CAP_TOT_q1,NET_TOT_q1,TOT_OP_EXP_q1,EXP_PIPS_q1,EXP_POPS_q1,PHY_COMP_q1,LOG_VIS_TOT_q1,LOG_GRIP_TOT_q1,LOG_DAY_TOT_q1,LOG_GROP_TOT_q1,LOG_DED_TOT_q1,LOG_CAP_TOT_q1,LOG_DED_TOT_q1,LOG_CAP_TOT_q1,LOG_NET_TOT_q1,LOG_TOT_OP_EXP_q1,LOG_EXP_PIPS_q1,LOG_EXP_POPS_q1,LOG_PHY_COMP_q1,BEG_DATE_q2,END_DATE_q2,OP_STATUS_q2,TYPE_HOSP_q2,TEACH_RURL_q2,AVL_BEDS_q2,STF_BEDS_q2,VIS_TOT_q2,GRIP_TOT_q2,DAY_TOT_q2,GROP_TOT_q2,DED_TOT_q2,CAP_TOT_q2,NET_TOT_q2,TOT_OP_EXP_q2,EXP_PIPS_q2,EXP_POPS_q2,PHY_COMP_q2,LOG_VIS_TOT_q2,LOG_GRIP_TOT_q2,LOG_DAY_TOT_q2,LOG_GROP_TOT_q2,LOG_DED_TOT_q2,LOG_CAP_TOT_q2,LOG_DED_TOT_q2,LOG_CAP_TOT_q2,LOG_NET_TOT_q2,LOG_TOT_OP_EXP_q2,LOG_EXP_PIPS_q2,LOG_EXP_POPS_q2,LOG_PHY_COMP_q2
ADVENTIST HEALTH SIMI VALLEY,Ventura,2024-01-01,2024-03-31,Open,Comparable,N/A,130,92,19222.0,197537311.0,8015.0,139282124.0,282286053.0,0.0,54533382.0,62814699.0,0.0,0.0,0.0,9.86386275775286,19.101438045981016,8.989194823324645,18.752012110344005,19.47213473523188,15.46989946485397,19.47213473523188,15.46989946485397,17.81432360422234,17.955699680479935,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,130,80,20951.0,180129970.0,6920.0,139329934.0,266235783.0,0.0,53224121.0,60084128.0,0.0,0.0,0.0,9.949989386187548,19.00918920940489,8.842315546841863,18.75235531157133,19.5569809723175,14.470255730140709,19.5569809723175,14.470255730140709,17.79002227260024,17.911256288091984,0.0,0.0,0.0
ADVENTIST HEALTH SONORA - GREENLEY,Tuolumne,2024-01-01,2024-03-31,Open,Comparable,Rural,152,102,90846.0,120268842.0,9224.0,278477326.0,319084339.0,0.0,79661829.0,83077791.0,0.0,0.0,0.0,11.416932051815145,18.605240153218908,9.129672468908728,19.44484720288649,19.59309848282857,15.46989946485397,19.59309848282857,15.46989946485397,18.1933011080876,18.235287979825564,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Rural,152,102,89870.0,120465768.0,9255.0,283920161.0,323015296.0,0.0,81370633.0,85917433.0,0.0,0.0,0.0,11.406130587774221,18.60687619584933,9.133027268873512,19.464203636885614,19.724412872309365,14.470255730140709,19.724412872309365,14.470255730140709,18.21452500421186,18.268897323288172,0.0,0.0,0.0
ADVENTIST HEALTH ST. HELENA,Napa,2024-01-01,2024-03-31,Open,Comparable,N/A,151,58,12334.0,167361526.0,4876.0,203966091.0,319244791.0,6705573.0,58788399.0,72745514.0,0.0,0.0,0.0,9.420196028963456,18.935666862843185,8.492285555710053,19.133464322306857,19.593595146879778,16.295024023979536,19.593595146879778,16.295024023979536,17.889455114495245,18.102477812630934,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,151,58,12720.0,160532908.0,4928.0,207066036.0,310732304.0,5635872.0,62502512.0,72262209.0,0.0,0.0,0.0,9.45100945015621,18.89400952001486,8.502891406705377,19.14854831967747,19.69049370879067,15.83845105792305,19.69049370879067,15.83845105792305,17.95071732189831,18.095811867218302,0.0,0.0,0.0
ADVENTIST HEALTH TEHACHAPI VALLEY,Kern,2024-01-01,2024-03-31,Open,Comparable,Rural,25,13,15736.0,19289772.0,814.0,46434073.0,49054199.0,1139.0,16670785.0,15856864.0,0.0,0.0,0.0,9.663769906600864,16.775085617057357,6.703188113240863,17.6535441011392,17.78484087725732,15.470117228040712,17.78484087725732,15.470117228040712,16.62916840418531,16.579113087545252,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Rural,25,12,11579.0,17256810.0,729.0,47194691.0,47992999.0,806.0,16459308.0,16732305.0,0.0,0.0,0.0,9.357034751126987,16.663717464092322,6.593044534142437,17.66979198660483,18.351109387317997,14.470674419482975,18.351109387317997,14.470674419482975,16.61640177177306,16.632851899686823,0.0,0.0,0.0
ADVENTIST HEALTH TULARE,Tulare,2024-01-01,2024-03-31,Open,Comparable,N/A,73,24,8581.0,28711379.0,2052.0,81531234.0,92222246.0,0.0,18020367.0,25103394.0,0.0,0.0,0.0,9.05742226555147,17.172804117817723,7.627057417018934,18.216496756322723,18.38107787058517,15.46989946485397,18.38107787058517,15.46989946485397,16.70701323168955,17.038513653919487,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,73,20,9290.0,26127583.0,1770.0,87683910.0,95985555.0,0.0,17825938.0,25485814.0,0.0,0.0,0.0,9.136801468641313,17.078502172448978,7.479299637782834,18.2892489855524,18.766197052241623,14.470255730140709,18.766197052241623,14.470255730140709,16.69616520169903,17.053632580840784,0.0,0.0,0.0
ADVENTIST HEALTH UKIAH VALLEY,Mendocino,2024-01-01,2024-03-31,Open,Comparable,Rural,50,37,64248.0,61682279.0,3030.0,162824112.0,172521203.0,11638116.0,63623304.0,67680996.0,0.0,0.0,0.0,11.070521438434008,17.937507251516706,8.016647877057803,18.908181114815495,18.988355763150366,16.640928834564736,18.988355763150366,16.640928834564736,17.968490392008583,18.03031600424121,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Rural,50,25,44847.0,39969234.0,1875.0,113479109.0,110020971.0,6247895.0,49675267.0,48808835.0,0.0,0.0,0.0,10.71103427340457,17.50362059114983,7.53689712956617,18.547129325082487,18.86091647953597,15.916291168558153,18.86091647953597,15.916291168558153,17.721017741455544,17.703421920006754,0.0,0.0,0.0
ADVENTIST HEALTH VALLEJO,Solano,2024-01-01,2024-03-31,Open,Comparable,N/A,61,51,1298.0,27952182.0,4307.0,700390.0,21025579.0,0.0,7626993.0,9752090.0,0.0,0.0,0.0,7.1693500166706,17.14600585827215,8.36822903827628,13.45939402951116,17.031198908228454,15.46989946485397,17.031198908228454,15.46989946485397,15.847204354467163,16.092992281518903,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,61,59,1446.0,31779514.0,5031.0,930006.0,23186776.0,0.0,9522744.0,9889149.0,0.0,0.0,0.0,7.277247726631484,17.274332457785842,8.523572798380277,13.742947391982833,18.041952021920636,14.470255730140709,18.041952021920636,14.470255730140709,16.069193705541597,16.106948754505986,0.0,0.0,0.0
ADVENTIST HEALTH WHITE MEMORIAL,Los Angeles,2024-01-01,2024-03-31,Open,Comparable,Teaching,353,250,37474.0,620401019.0,22707.0,311760806.0,798454025.0,7040542.0,140748342.0,147748332.0,0.0,0.0,0.0,10.531429322970798,20.245876633365885,10.030472564290617,19.557746807521017,20.503054091187167,16.32270245341405,20.503054091187167,16.32270245341405,18.76248405226824,18.81102093161492,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Teaching,353,244,39889.0,621111886.0,22146.0,337161705.0,829654260.0,8665275.0,137284606.0,149661825.0,0.0,0.0,0.0,10.593880944899452,20.24702179597141,10.005457326119846,19.63607321299296,20.589666576876088,16.175413824258268,20.589666576876088,16.175413824258268,18.737566752290014,18.823888813530964,0.0,0.0,0.0
AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,2024-01-01,2024-03-31,Open,Comparable,N/A,223,223,10031.0,143009427.0,7350.0,105190966.0,209877805.0,0.0,38322588.0,42751340.0,0.0,0.0,0.0,9.213535262872702,18.77842111612082,8.902591637374087,18.47128798956226,19.180423699925406,15.46989946485397,19.180423699925406,15.46989946485397,17.46155007141516,17.57091112127612,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,223,223,10376.0,133083466.0,6352.0,101235609.0,196924522.0,8170693.0,45565246.0,51198531.0,0.0,0.0,0.0,9.247347097605278,18.706487060774002,8.756682421266532,18.432961130393636,19.30531930962676,16.127584984479434,19.30531930962676,16.127584984479434,17.63465585672506,17.75122141772369,0.0,0.0,0.0
AHMC SETON MEDICAL CENTER,San Mateo,2024-01-01,2024-03-31,Open,Comparable,N/A,478,478,9234.0,168775288.0,16210.0,81640829.0,219406488.0,0.0,31009629.0,45379794.0,0.0,0.0,0.0,9.13075589263334,18.944078737229656,9.693445303141573,18.217840062439247,19.22403275799232,15.46989946485397,19.22403275799232,15.46989946485397,17.249808359370494,17.630577519897216,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,478,478,9325.0,152846401.0,15577.0,85084294.0,198197109.0,0.0,39733586.0,50208642.0,0.0,0.0,0.0,9.140561477368266,18.84494406660633,9.653614941479894,18.25915302892153,19.310559600851196,14.470255730140709,19.310559600851196,14.470255730140709,17.497707408135224,17.731697741156918,0.0,0.0,0.0
ALAMEDA HOSPITAL,Alameda,2024-01-01,2024-03-31,Open,Comparable,N/A,247,247,12145.0,128084991.0,19038.0,53209662.0,155699425.0,0.0,25595228.0,33454723.0,0.0,0.0,0.0,9.40475517645752,18.66820460153343,9.854244785957677,17.789750573156518,18.888145440334064,15.46989946485397,18.888145440334064,15.46989946485397,17.05791652489377,17.325703560277116,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,247,247,11544.0,113379282.0,17982.0,57313347.0,146421125.0,0.0,24271504.0,35369547.0,0.0,0.0,0.0,9.354007721788596,18.546249242973794,9.797182146165197,17.864044103945652,19.071481242204474,14.470255730140709,19.071481242204474,14.470255730140709,17.004813586493015,17.381361781908602,0.0,0.0,0.0
ALHAMBRA HOSPITAL MEDICAL CENTER,Los Angeles,2024-01-01,2024-03-31,Open,Comparable,N/A,144,144,6310.0,103214461.0,7880.0,31076158.0,117320687.0,43810619.0,60780551.0,60312657.0,0.0,0.0,0.0,8.75004942158424,18.452319536852567,8.97221007835365,17.25195149152797,18.613080907200203,17.708157086081435,18.613080907200203,17.708157086081435,17.922780427346527,17.915052556749167,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,144,144,6619.0,100431411.0,7514.0,32120971.0,116533556.0,55918756.0,71937582.0,70948605.0,0.0,0.0,0.0,8.797850648931053,18.42498558481465,8.924656302187074,17.28501970810427,18.901994632889124,17.873250055240824,18.901994632889124,17.873250055240824,18.091309398225032,18.077466313738125,0.0,0.0,0.0
ALISO RIDGE BEHAVIORAL HEALTH,Orange,2024-01-01,2024-03-31,Open,Comparable,N/A,93,93,221.0,18655250.0,8452.0,145640.0,10384265.0,0.0,8416625.0,8384289.0,0.0,0.0,255718.0,5.402677381872279,16.741638219384726,9.042276686928927,11.888899968511334,16.474309308520848,15.46989946485397,16.474309308520848,15.46989946485397,15.945719593322693,15.941870274639408,0.0,0.0,12.451834464345877,2024-04-01,2024-06-30,Open,Comparable,N/A,93,93,329.0,18523175.0,8409.0,217140.0,10065882.0,0.0,8674433.0,8546255.0,0.0,0.0,489619.0,5.799092654460526,16.73453326276031,9.037176752966994,12.288302191098992,17.829227686038074,14.470255730140709,17.829227686038074,14.470255730140709,15.97589063671188,15.961003850272203,0.0,0.0,13.10138485901913
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,Alameda,2024-01-01,2024-03-31,Open,Comparable,N/A,393,252,34510.0,287181414.0,19383.0,234160118.0,341535550.0,9124625.0,188930607.0,221822211.0,0.0,0.0,0.0,10.449033392780306,19.475624682041712,9.872203262496361,19.271515708547298,19.660301765545118,16.479574597177738,19.660301765545118,16.479574597177738,19.056890352167436,19.217386772140557,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,393,246,33123.0,266130983.0,18798.0,240979006.0,344641223.0,10268071.0,172736837.0,199803604.0,0.0,0.0,0.0,10.40801337415359,19.399499166599146,9.841558955913962,19.300220379777,19.7814715901019,16.31634985633142,19.7814715901019,16.31634985633142,18.967279826681875,19.112845467058996,0.0,0.0,0.0
ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,Alameda,2024-01-01,2024-03-31,Open,Comparable,N/A,309,226,28639.0,339962996.0,17301.0,179369555.0,378225874.0,0.0,141106677.0,145300287.0,0.0,0.0,0.0,10.262559621074582,19.64434733729887,9.75857738074032,19.00495879419181,19.761247176843767,15.46989946485397,19.761247176843767,15.46989946485397,18.765026743839176,18.794313110644534,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,309,227,34348.0,340660191.0,17843.0,181390431.0,385430671.0,0.0,136619951.0,127765708.0,0.0,0.0,0.0,10.444328185145217,19.646396034008358,9.789422596248155,19.016162348940004,19.880961887204194,14.470255730140709,19.880961887204194,14.470255730140709,18.732713555928434,18.665708746220197,0.0,0.0,0.0
ALVARADO PARKWAY INSTITUTE BHS,San Diego,2024-01-01,2024-03-31,Open,Comparable,N/A,66,66,29748.0,14268524.0,5727.0,11908210.0,16890930.0,0.0,9285804.0,9317192.0,0.0,0.0,0.0,10.300550796963453,16.473566620410555,8.653121708640482,16.292738720141205,16.849780186235346,15.46989946485397,16.849780186235346,15.46989946485397,16.04399744798765,16.04737196104038,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,66,66,32511.0,13907500.0,5780.0,13006300.0,17419891.0,0.0,9493909.0,9348151.0,0.0,0.0,0.0,10.389364530938154,16.447938892835232,8.662331957082475,16.380944490308128,17.953971665708686,14.470255730140709,17.953971665708686,14.470255730140709,16.066161098377098,16.050689234671292,0.0,0.0,0.0
AMERICAN RECOVERY CENTER,Los Angeles,2024-01-01,2024-03-31,Open,Comparable,N/A,173,173,908.0,2794627.0,6925.0,147131.0,0.0,0.0,2941758.0,2318440.0,0.0,0.0,0.0,6.812345094177479,14.843209560901272,8.843037724962366,11.899085422020388,15.175168549872277,15.46989946485397,15.175168549872277,15.46989946485397,14.894518259724912,14.65640553500226,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,173,173,746.0,2298138.0,6742.0,120992.0,0.0,0.0,2419130.0,2227846.0,0.0,0.0,0.0,6.616065185132817,14.64761022294188,8.816260208734581,11.703487971665762,17.628516397196258,14.470255730140709,17.628516397196258,14.470255730140709,14.6989189427352,14.6165462062171,0.0,0.0,0.0
ANAHEIM COMMUNITY HOSPITAL,Orange,2024-01-01,2024-03-31,Open,Comparable,N/A,79,79,167.0,16899010.0,7124.0,246835.0,9087356.0,0.0,8058489.0,8477653.0,0.0,0.0,724551.0,5.123963979403259,16.64276565747084,8.871365005136852,12.416479427474664,16.379091055888015,15.46989946485397,16.379091055888015,15.46989946485397,15.902236752018409,15.952944318549758,0.0,0.0,13.49330881180426,2024-04-01,2024-06-30,Open,Comparable,N/A,88,88,42.0,18663047.0,7938.0,223008.0,8499420.0,0.0,10386635.0,10111678.0,0.0,0.0,934389.0,3.7612001156935624,16.742056084095733,8.979542601725113,12.314967408372258,17.80051964074316,14.470255730140709,17.80051964074316,14.470255730140709,16.156030537791143,16.129201650402884,0.0,0.0,13.747649188944038
ANAHEIM GLOBAL MEDICAL CENTER,Orange,2024-01-01,2024-03-31,Open,Comparable,N/A,188,188,5024.0,46969115.0,8633.0,22851670.0,51212659.0,0.0,18608126.0,20095229.0,0.0,0.0,240595.0,8.522180732927277,17.66500083730233,9.063463176115423,16.94453480173353,17.824796743939572,15.46989946485397,17.824796743939572,15.46989946485397,16.739108978738788,16.81599303143318,0.0,0.0,12.39087445728061,2024-04-01,2024-06-30,Open,Comparable,N/A,188,188,5314.0,47010482.0,8932.0,26573369.0,51225585.0,0.0,22358266.0,21139399.0,0.0,0.0,245965.0,8.57828829077605,17.66588117735723,9.09750756370184,17.09542014446921,18.385177320309403,14.470255730140709,18.385177320309403,14.470255730140709,16.922706698775272,16.86664915578977,0.0,0.0,12.412948593980312
ANTELOPE VALLEY MEDICAL CENTER,Los Angeles,2024-01-01,2024-03-31,Open,Comparable,N/A,393,266,32602.0,384197036.0,21972.0,170711878.0,430673584.0,1087776.0,125323106.0,131009265.0,0.0,0.0,0.0,10.392159587660679,19.766666096139893,9.997569705897266,18.955487775267244,19.88986401615565,15.65885928611139,19.88986401615565,15.65885928611139,18.646405816272054,18.690778611488405,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,393,268,33506.0,396692176.0,22172.0,173503042.0,427741026.0,1237197.0,143691389.0,137186839.0,0.0,0.0,0.0,10.419509651208937,19.798671165098533,10.006630611452996,18.971705696102283,19.974663839072154,14.966667541025563,19.974663839072154,14.966667541025563,18.783178432761495,18.73685435028825,0.0,0.0,0.0
ARROWHEAD REGIONAL MEDICAL CENTER,San Bernardino,2024-01-01,2024-03-31,Open,Comparable,Teaching,436,436,73262.0,506645181.0,33978.0,254818566.0,594557202.0,0.0,166906545.0,219068379.0,0.0,0.0,0.0,11.201810985535325,20.043321478290046,10.433497965716953,19.35606234792427,20.209856984516414,15.46989946485397,20.209856984516414,15.46989946485397,18.93294460895341,19.20489447648773,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Teaching,436,436,73246.0,534963567.0,33976.0,274039402.0,596092301.0,0.0,212910668.0,219566783.0,0.0,0.0,0.0,11.20159257040921,20.0977092053453,10.433439104100595,19.428782460582514,20.279130572140943,14.470255730140709,20.279130572140943,14.470255730140709,19.17638324133709,19.20716699932858,0.0,0.0,0.0
ATASCADERO STATE HOSPITAL,San Luis Obispo,2024-01-01,2024-03-31,Open,State Hospitals,N/A,1076,1076,0.0,66883796.0,94442.0,0.0,523.0,0.0,66883273.0,82457670.0,0.0,0.0,0.0,0.0,18.018467298454535,11.455751756895676,0.0,15.175302820360763,15.46989946485397,15.175302820360763,15.46989946485397,18.018459478891828,18.22779564084707,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,State Hospitals,N/A,1076,1076,0.0,66931621.0,94055.0,0.0,2253.0,0.0,66929368.0,87988173.0,0.0,0.0,0.0,0.0,18.019182089057797,11.451645628547578,0.0,17.62856614604023,14.470255730140709,17.62856614604023,14.470255730140709,18.019148427272036,18.292712977048186,0.0,0.0,0.0
